Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa,ROC-AUC,PRC-AUC,Confusion Matrix
CatBoost,0.99,0.975609756097561,0.6829268292682927,0.8034433285509326,0.8023247122384857,0.9796339796430349,0.7197210409162571,"[[59250     7]
 [  130   280]]"
CatBoost,0.8,0.9756944444444444,0.6853658536585366,0.8051575931232093,0.8040464503909864,0.9808387976803811,0.7270266709253318,"[[59250     7]
 [  129   281]]"
CatBoost,0.5,0.9761092150170648,0.697560975609756,0.8136557610241819,0.8125822595557277,0.978942716245935,0.7000212110365706,"[[59250     7]
 [  124   286]]"
CatBoost,0.3,0.9753521126760564,0.675609756097561,0.7982708933717579,0.7971299701685578,0.9803999486321879,0.7009988310150973,"[[59250     7]
 [  133   277]]"
CatBoost,0.2,0.9694915254237289,0.697560975609756,0.8113475177304965,0.8102563796024396,0.9810666806062225,0.7059850406530253,"[[59248     9]
 [  124   286]]"
CatBoost,0.1,0.959731543624161,0.697560975609756,0.8079096045197739,0.8067920010049554,0.9662250050112428,0.7039224636374204,"[[59245    12]
 [  124   286]]"
CatBoost,0.05,0.9589552238805971,0.6268292682926829,0.7581120943952803,0.7567909065824311,0.9706275722493628,0.6929509300844982,"[[59246    11]
 [  153   257]]"
CatBoost,0.01,0.0,0.0,0.0,0.0,0.7974566141614636,0.6857303236781499,"[[59257     0]
 [  410     0]]"
CatBoost,0.005,0.0,0.0,0.0,0.0,0.8566587378582833,0.590512451192503,"[[59257     0]
 [  410     0]]"
CatBoost,0.002,0.0,0.0,0.0,0.0,0.7627840819053178,0.01926544072834551,"[[59257     0]
 [  410     0]]"
LightGBM,0.99,0.9753521126760564,0.675609756097561,0.7982708933717579,0.7971299701685578,0.9739755764164119,0.6997537194356466,"[[59250     7]
 [  133   277]]"
LightGBM,0.8,0.9750889679715302,0.6682926829268293,0.7930535455861072,0.7918904916762719,0.972161259532166,0.6977544951653405,"[[59250     7]
 [  136   274]]"
LightGBM,0.5,0.9782608695652174,0.6585365853658537,0.7871720116618076,0.7859886940360163,0.9814547380838408,0.7131884221862569,"[[59251     6]
 [  140   270]]"
LightGBM,0.3,0.9770114942528736,0.6219512195121951,0.760059612518629,0.7587700904138779,0.9810592923672288,0.7258883469684614,"[[59251     6]
 [  155   255]]"
LightGBM,0.2,0.9646643109540636,0.6658536585365854,0.787878787878788,0.7866816031676888,0.9797897706435423,0.7153815587572628,"[[59247    10]
 [  137   273]]"
LightGBM,0.1,0.9586206896551724,0.6780487804878049,0.7942857142857143,0.7931077726220891,0.9781266965681115,0.7174186178746814,"[[59245    12]
 [  132   278]]"
LightGBM,0.05,0.952054794520548,0.6780487804878049,0.792022792022792,0.7908270682252276,0.9840750315800912,0.7591375366402623,"[[59243    14]
 [  132   278]]"
LightGBM,0.01,1.0,0.3780487804878049,0.5486725663716815,0.5469645379279974,0.9320830882592033,0.6140051388971353,"[[59257     0]
 [  255   155]]"
LightGBM,0.005,0.8730964467005076,0.4195121951219512,0.5667215815485996,0.5647804023532179,0.9185429363701807,0.6073199191036981,"[[59232    25]
 [  238   172]]"
LightGBM,0.002,1.0,0.20243902439024392,0.3367139959432049,0.33517577876698024,0.7999131727567845,0.4557142613563364,"[[59257     0]
 [  327    83]]"
LightGBM,0.001,0.0,0.0,0.0,0.0,0.5,0.006871469991787755,"[[59257     0]
 [  410     0]]"
